Dataset,Precision,Recall,Accuracy,F1,Runtime,xbc__objective,xbc__use_label_encoder,xbc__base_score,xbc__booster,xbc__colsample_bylevel,xbc__colsample_bynode,xbc__colsample_bytree,xbc__enable_categorical,xbc__gamma,xbc__gpu_id,xbc__importance_type,xbc__interaction_constraints,xbc__learning_rate,xbc__max_delta_step,xbc__max_depth,xbc__min_child_weight,xbc__missing,xbc__monotone_constraints,xbc__n_estimators,xbc__n_jobs,xbc__num_parallel_tree,xbc__predictor,xbc__random_state,xbc__reg_alpha,xbc__reg_lambda,xbc__scale_pos_weight,xbc__subsample,xbc__tree_method,xbc__validate_parameters,xbc__verbosity
lr_valid_lb_mm_0-100,0.9347163166258644,0.9580876648564779,0.9347163166258644,0.9285700859038704,236.57797193527222,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-100,0.93266282455402,0.9586423828200846,0.93266282455402,0.9264429933198228,232.8354194164276,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1000,0.9351493350961084,0.9513280328090844,0.9351493350961084,0.9286739434225932,238.73237133026123,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1000,0.9359912090930943,0.9544829722561035,0.9359912090930943,0.9296975182922229,241.88321733474731,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,approx,1,None
lr_valid_lb_mm_0-1000,0.9339022671410646,0.950199511873862,0.9339022671410646,0.9273069252653567,240.05696606636047,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9377584942175331,0.9558460894244638,0.9377584942175331,0.9115271985091844,835.73877120018,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),75,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9377994911576943,0.956893348197696,0.9377994911576943,0.911807015602523,839.4981634616852,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),50,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9343537680593518,0.9535056723079784,0.9343537680593518,0.9070523452531016,829.7044129371643,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),50,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_std,0.9367885194959321,0.9526547646649663,0.9367885194959321,0.9103154909606521,825.7222607135773,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_std,0.9344264855157336,0.9508616674429436,0.9344264855157336,0.9067489839880966,819.0421893596649,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
